GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,#NOTE - CENSUS BLOCK IS THE LAST 6 of GEO.id
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars),
1400000US36001000100,36001000100,"Census Tract 1, Albany County, New York",35900,11519,
1400000US36001000200,36001000200,"Census Tract 2, Albany County, New York",20665,4142,
1400000US36001000300,36001000300,"Census Tract 3, Albany County, New York",35951,8746,
1400000US36001000401,36001000401,"Census Tract 4.01, Albany County, New York",71921,6952,
1400000US36001000403,36001000403,"Census Tract 4.03, Albany County, New York",50952,13933,
1400000US36001000404,36001000404,"Census Tract 4.04, Albany County, New York",-,**,
1400000US36001000501,36001000501,"Census Tract 5.01, Albany County, New York",26711,5597,
1400000US36001000502,36001000502,"Census Tract 5.02, Albany County, New York",45526,9075,
1400000US36001000600,36001000600,"Census Tract 6, Albany County, New York",19836,2736,
1400000US36001000700,36001000700,"Census Tract 7, Albany County, New York",30851,3473,
1400000US36001000800,36001000800,"Census Tract 8, Albany County, New York",21394,7236,
1400000US36001001100,36001001100,"Census Tract 11, Albany County, New York",12452,5252,
1400000US36001001400,36001001400,"Census Tract 14, Albany County, New York",34052,6817,
1400000US36001001500,36001001500,"Census Tract 15, Albany County, New York",29823,6749,
1400000US36001001600,36001001600,"Census Tract 16, Albany County, New York",46579,12058,
1400000US36001001700,36001001700,"Census Tract 17, Albany County, New York",70586,12391,
1400000US36001001801,36001001801,"Census Tract 18.01, Albany County, New York",64737,12898,
1400000US36001001802,36001001802,"Census Tract 18.02, Albany County, New York",51917,11431,
1400000US36001001901,36001001901,"Census Tract 19.01, Albany County, New York",69630,12530,
1400000US36001001902,36001001902,"Census Tract 19.02, Albany County, New York",73875,5512,
1400000US36001002000,36001002000,"Census Tract 20, Albany County, New York",54601,3389,
1400000US36001002100,36001002100,"Census Tract 21, Albany County, New York",29866,6682,
1400000US36001002200,36001002200,"Census Tract 22, Albany County, New York",38621,8005,
1400000US36001002300,36001002300,"Census Tract 23, Albany County, New York",26983,3976,
1400000US36001002500,36001002500,"Census Tract 25, Albany County, New York",19258,3176,
1400000US36001002600,36001002600,"Census Tract 26, Albany County, New York",40783,3240,
1400000US36001012700,36001012700,"Census Tract 127, Albany County, New York",53113,6009,
1400000US36001012800,36001012800,"Census Tract 128, Albany County, New York",33825,4117,
1400000US36001012900,36001012900,"Census Tract 129, Albany County, New York",25776,4686,
1400000US36001013000,36001013000,"Census Tract 130, Albany County, New York",54007,5139,
1400000US36001013100,36001013100,"Census Tract 131, Albany County, New York",52292,14020,
1400000US36001013200,36001013200,"Census Tract 132, Albany County, New York",34678,5160,
1400000US36001013300,36001013300,"Census Tract 133, Albany County, New York",48864,9043,
1400000US36001013400,36001013400,"Census Tract 134, Albany County, New York",45224,10136,
1400000US36001013503,36001013503,"Census Tract 135.03, Albany County, New York",64500,8948,
1400000US36001013505,36001013505,"Census Tract 135.05, Albany County, New York",68021,16479,
1400000US36001013506,36001013506,"Census Tract 135.06, Albany County, New York",69167,7971,
1400000US36001013507,36001013507,"Census Tract 135.07, Albany County, New York",81591,25020,
1400000US36001013508,36001013508,"Census Tract 135.08, Albany County, New York",87143,13235,
1400000US36001013601,36001013601,"Census Tract 136.01, Albany County, New York",73783,10706,
1400000US36001013602,36001013602,"Census Tract 136.02, Albany County, New York",60761,7654,
1400000US36001013703,36001013703,"Census Tract 137.03, Albany County, New York",99250,16485,
1400000US36001013705,36001013705,"Census Tract 137.05, Albany County, New York",69201,12418,
1400000US36001013706,36001013706,"Census Tract 137.06, Albany County, New York",111250,8589,
1400000US36001013707,36001013707,"Census Tract 137.07, Albany County, New York",90688,12047,
1400000US36001013801,36001013801,"Census Tract 138.01, Albany County, New York",66827,10710,
1400000US36001013802,36001013802,"Census Tract 138.02, Albany County, New York",94167,12064,
1400000US36001013901,36001013901,"Census Tract 139.01, Albany County, New York",69345,9619,
1400000US36001013902,36001013902,"Census Tract 139.02, Albany County, New York",78300,7712,
1400000US36001014001,36001014001,"Census Tract 140.01, Albany County, New York",54127,7295,
1400000US36001014002,36001014002,"Census Tract 140.02, Albany County, New York",60511,12203,
1400000US36001014100,36001014100,"Census Tract 141, Albany County, New York",86066,7484,
1400000US36001014201,36001014201,"Census Tract 142.01, Albany County, New York",82418,10851,
1400000US36001014202,36001014202,"Census Tract 142.02, Albany County, New York",99813,12079,
1400000US36001014203,36001014203,"Census Tract 142.03, Albany County, New York",95175,11165,
1400000US36001014301,36001014301,"Census Tract 143.01, Albany County, New York",68482,9851,
1400000US36001014302,36001014302,"Census Tract 143.02, Albany County, New York",96179,7113,
1400000US36001014401,36001014401,"Census Tract 144.01, Albany County, New York",57250,9424,
1400000US36001014402,36001014402,"Census Tract 144.02, Albany County, New York",56466,6464,
1400000US36001014501,36001014501,"Census Tract 145.01, Albany County, New York",86204,7385,
1400000US36001014502,36001014502,"Census Tract 145.02, Albany County, New York",68656,9057,
1400000US36001014503,36001014503,"Census Tract 145.03, Albany County, New York",79375,6162,
1400000US36001014606,36001014606,"Census Tract 146.06, Albany County, New York",78368,9664,
1400000US36001014607,36001014607,"Census Tract 146.07, Albany County, New York",89970,12683,
1400000US36001014608,36001014608,"Census Tract 146.08, Albany County, New York",81875,21086,
1400000US36001014609,36001014609,"Census Tract 146.09, Albany County, New York",66066,10100,
1400000US36001014611,36001014611,"Census Tract 146.11, Albany County, New York",89333,16382,
1400000US36001014612,36001014612,"Census Tract 146.12, Albany County, New York",79643,9179,
1400000US36001014613,36001014613,"Census Tract 146.13, Albany County, New York",78800,11220,
1400000US36001014614,36001014614,"Census Tract 146.14, Albany County, New York",91042,10529,
1400000US36001014615,36001014615,"Census Tract 146.15, Albany County, New York",61858,13077,
1400000US36001014700,36001014700,"Census Tract 147, Albany County, New York",65313,6415,
1400000US36001014801,36001014801,"Census Tract 148.01, Albany County, New York",61905,13212,
1400000US36001014802,36001014802,"Census Tract 148.02, Albany County, New York",52143,12087,
1400000US36001014803,36001014803,"Census Tract 148.03, Albany County, New York",68972,9377,
